"cluster","module","GeneScoreMatrix_mean_score","n_markers_used"
"C9","Neurogenic_TF",0.389226287262873,9
"C1","Neurogenic_Progenitor",0.877301117685733,13
"C10","Neurogenic_Progenitor",0.817162614587485,13
"C11","Neurogenic_Progenitor",0.465687972698764,13
"C12","Neurogenic_Progenitor",0.475771967163272,13
"C13","Neurogenic_Progenitor",0.493241997653762,13
"C14","Neurogenic_Progenitor",0.521007875457875,13
"C15","Neurogenic_Progenitor",1.03268782051282,13
"C16","Neurogenic_Progenitor",0.630084094391664,13
"C17","Neurogenic_Progenitor",1.19828770793793,13
"C18","Neurogenic_Progenitor",0.96876009542651,13
"C19","Neurogenic_Progenitor",1.05798608978016,13
"C2","Neurogenic_Progenitor",1.10813700727134,13
"C20","Neurogenic_Progenitor",0.889007471714225,13
"C21","Neurogenic_Progenitor",1.20379437869822,13
"C22","Neurogenic_Progenitor",1.60289210347175,13
"C23","Neurogenic_Progenitor",1.35567629604748,13
"C24","Neurogenic_Progenitor",1.42497319625482,13
"C3","Neurogenic_Progenitor",1.16462686567164,13
"C4","Neurogenic_Progenitor",1.05703150291905,13
"C5","Neurogenic_Progenitor",1.24473088276106,13
"C6","Neurogenic_Progenitor",1.10303752345216,13
"C7","Neurogenic_Progenitor",1.26191838876709,13
"C8","Neurogenic_Progenitor",1.2288761850474,13
"C9","Neurogenic_Progenitor",0.427707317073171,13
"C1","Stress_Response",0.85103724053724,7
"C10","Stress_Response",0.542589193190229,7
"C11","Stress_Response",0.544332134292566,7
"C12","Stress_Response",0.646857707509881,7
"C13","Stress_Response",0.626150638032991,7
"C14","Stress_Response",0.646798299319728,7
"C15","Stress_Response",0.753790476190476,7
"C16","Stress_Response",0.584872851451337,7
"C17","Stress_Response",0.857449616421314,7
"C18","Stress_Response",0.824670736978604,7
"C19","Stress_Response",0.866475674354168,7
"C2","Stress_Response",0.921995735607676,7
"C20","Stress_Response",0.602013347429629,7
"C21","Stress_Response",0.73192239010989,7
"C22","Stress_Response",0.784797218710493,7
"C23","Stress_Response",0.778776668746101,7
"C24","Stress_Response",0.815174792590067,7
"C3","Stress_Response",0.73179104477612,7
"C4","Stress_Response",0.839744346950137,7
"C5","Stress_Response",0.805023005200769,7
"C6","Stress_Response",0.851260162601626,7
"C7","Stress_Response",0.853603525946461,7
"C8","Stress_Response",0.91813767550702,7
"C9","Stress_Response",0.591493031358885,7
