"cluster","module","GeneExpressionMatrix_mean_score","n_markers_used"
"C10","AC",0.301154734987114,8
"C11","AC",0.884596883675193,8
"C12","AC",2.10550685781714,8
"C13","AC",1.9987009684101,8
"C14","AC",1.45507055778285,8
"C15","AC",5.58596197824238,8
"C16","AC",1.81310206278247,8
"C17","AC",5.54375641380687,8
"C18","AC",5.95989506489164,8
"C19","AC",1.09722554324119,8
"C2","AC",13.694971958319,8
"C20","AC",1.38349473739036,8
"C21","AC",1.32839759378839,8
"C22","AC",1.33393795457236,8
"C3","AC",11.3009998894739,8
"C4","AC",15.2321500840031,8
"C5","AC",6.43407942438952,8
"C6","AC",8.02223377190971,8
"C7","AC",6.53481638188487,8
"C8","AC",3.99666634143845,8
"C9","AC",1.3584663185364,8
"C1","MG",0.899352049194151,11
"C10","MG",0.658613315146332,11
"C11","MG",0.330878456251397,11
"C12","MG",1.41951880643328,11
"C13","MG",1.42212051804725,11
"C14","MG",1.11470069696724,11
"C15","MG",0.990091504389306,11
"C16","MG",1.08885623361127,11
"C17","MG",0.604700266318803,11
"C18","MG",0.764923530555337,11
"C19","MG",0.429938273369751,11
"C2","MG",1.00319780597396,11
"C20","MG",0.925506435252303,11
"C21","MG",0.856289392677807,11
"C22","MG",0.798720377993068,11
"C3","MG",0.638184733658246,11
"C4","MG",0.53463253484521,11
"C5","MG",0.849050687569314,11
"C6","MG",0.663255463256353,11
"C7","MG",0.588388091273681,11
"C8","MG",0.310129302066916,11
"C9","MG",0.37457283332777,11
"C1","HC",0.395797938559263,6
"C10","HC",0.316887133978672,6
"C11","HC",0.342066932065444,6
"C12","HC",0.0664669424165223,6
"C13","HC",0.077005131955177,6
"C14","HC",0.074196845696815,6
"C15","HC",0.30703547197892,6
"C16","HC",0.162597811346115,6
"C17","HC",0.510197798811217,6
"C18","HC",0.642191658290806,6
"C19","HC",0.571120927373615,6
"C2","HC",0.250555260407954,6
"C20","HC",0.285569077818038,6
"C21","HC",0.393058357004313,6
"C22","HC",0.19488511790287,6
"C3","HC",0.48992138535016,6
"C4","HC",0.28076548097939,6
"C5","HC",0.313950373500438,6
"C6","HC",0.293916087036562,6
"C7","HC",0.226586366568368,6
"C8","HC",3.03481403579874,6
"C9","HC",0.873069300519485,6
"C1","RGC",0.735669707584379,7
"C10","RGC",0.237609755637654,7
"C11","RGC",0.296781262214454,7
"C12","RGC",0.230020624792927,7
"C13","RGC",0.249256699116575,7
"C14","RGC",0.269793208259995,7
"C15","RGC",0.422257302635042,7
"C16","RGC",2.8214429561852,7
"C17","RGC",0.425749872277407,7
"C18","RGC",0.43857848375218,7
"C19","RGC",0.306837212496278,7
"C2","RGC",0.66540874382681,7
"C20","RGC",0.218589709923065,7
"C21","RGC",0.271345532981628,7
"C22","RGC",0.269468806910553,7
"C3","RGC",0.598326858377474,7
"C4","RGC",0.538706541790003,7
"C5","RGC",4.49245894866861,7
"C6","RGC",5.7746743604875,7
"C7","RGC",0.750285564186148,7
"C8","RGC",1.5635310208757,7
"C9","RGC",0.265735005298063,7
"C1","RPE",0.00985821484476839,5
"C10","RPE",0.036598366905291,5
"C11","RPE",0.0411158765864059,5
"C12","RPE",0.0160317562518311,5
"C13","RPE",0.0172223526351225,5
"C14","RPE",0.028555423789246,5
"C15","RPE",0.0121188274485239,5
"C16","RPE",0.0167068523068825,5
"C17","RPE",0.020557219064537,5
"C18","RPE",0.015834603862918,5
"C19","RPE",0.0299447704383387,5
"C2","RPE",0.00595077204466492,5
"C20","RPE",0.0258965843154018,5
"C21","RPE",0.0190604879361889,5
"C22","RPE",0.0221287589526852,5
"C3","RPE",0.00927894305762543,5
"C4","RPE",0.00364176530384883,5
"C5","RPE",0.0206156760731181,5
"C6","RPE",0.014927608323419,5
"C7","RPE",0.0131964273434659,5
"C8","RPE",0.00235016797825625,5
"C9","RPE",0.0355042729806651,5
"C1","Astrocyte",0.141034956888213,6
"C10","Astrocyte",0.0586797910488358,6
"C11","Astrocyte",0.0365695726829662,6
"C12","Astrocyte",0.10842041051409,6
"C13","Astrocyte",0.143810763883631,6
"C14","Astrocyte",0.166057133710143,6
"C15","Astrocyte",0.141030556275954,6
"C16","Astrocyte",0.177631726761068,6
"C17","Astrocyte",0.105958333978752,6
"C18","Astrocyte",0.16033928034602,6
"C19","Astrocyte",0.12110368138201,6
"C2","Astrocyte",0.0838348931916222,6
"C20","Astrocyte",0.107585387584714,6
"C21","Astrocyte",0.094980359104572,6
"C22","Astrocyte",0.137588449557476,6
"C3","Astrocyte",0.0912341201917162,6
"C4","Astrocyte",0.120145339164657,6
"C5","Astrocyte",0.0827077122257683,6
"C6","Astrocyte",0.0699100679979731,6
"C7","Astrocyte",0.0723777905153118,6
"C8","Astrocyte",0.125873873285504,6
"C9","Astrocyte",0.0494527906470351,6
"C1","Microglia",0.147739127797999,4
"C10","Microglia",0.205753872490189,4
"C11","Microglia",0.147609892148267,4
"C12","Microglia",0.171469774767881,4
"C13","Microglia",0.225286934052689,4
"C14","Microglia",0.219688033194584,4
"C15","Microglia",0.201203882157591,4
"C16","Microglia",0.557038929410863,4
"C17","Microglia",0.145379056052139,4
"C18","Microglia",0.151672842923614,4
"C19","Microglia",0.172117657783393,4
"C2","Microglia",0.184490028779325,4
"C20","Microglia",0.206579102458295,4
"C21","Microglia",0.143251763517542,4
"C22","Microglia",0.148484274774209,4
"C3","Microglia",0.210745525421022,4
"C4","Microglia",0.208553868589526,4
"C5","Microglia",0.30537764813573,4
"C6","Microglia",0.331329740510489,4
"C7","Microglia",0.206637618135092,4
"C8","Microglia",0.303515579901279,4
"C9","Microglia",0.156022763675836,4
"C1","Endothelial",0.0249374588139258,5
"C10","Endothelial",0.0190721859235379,5
"C11","Endothelial",0.0465286583182731,5
"C12","Endothelial",0.040053445209719,5
"C13","Endothelial",0.0632672622503511,5
"C14","Endothelial",0.0465008367594513,5
"C15","Endothelial",0.139643169356105,5
"C16","Endothelial",0.0481785302170157,5
"C17","Endothelial",0.133456598317112,5
"C18","Endothelial",0.675201177254301,5
"C19","Endothelial",0.0651153208533423,5
"C2","Endothelial",0.00545466894436069,5
"C20","Endothelial",0.0384736346876406,5
"C21","Endothelial",0.0309155127285496,5
"C22","Endothelial",0.0798973754240065,5
"C3","Endothelial",0.0214196112700492,5
"C4","Endothelial",0.0661181460740278,5
"C5","Endothelial",0.0333919573424823,5
"C6","Endothelial",0.0198770238507299,5
"C7","Endothelial",0.0117694230898024,5
"C8","Endothelial",0.0250261111408771,5
"C9","Endothelial",0.021672832632925,5
"C1","Pericyte",0.00422545986178021,3
"C10","Pericyte",0.00294176558710788,3
"C11","Pericyte",0.00132024836329003,3
"C12","Pericyte",0.0128541555697724,3
"C13","Pericyte",0.0171101745912947,3
"C14","Pericyte",0.0171155843835893,3
"C15","Pericyte",0.0201297608185159,3
"C16","Pericyte",0.0157810165220402,3
"C17","Pericyte",0.0130136272628656,3
"C18","Pericyte",0.0187628779003194,3
"C19","Pericyte",0.00707826263457882,3
"C2","Pericyte",0.051019259649199,3
"C20","Pericyte",0.0129555848169697,3
"C21","Pericyte",0.0178535005573782,3
"C22","Pericyte",0.0212288696825222,3
"C3","Pericyte",0.0037462767313948,3
"C4","Pericyte",0.00286084832750432,3
"C5","Pericyte",0.00343004732355663,3
"C6","Pericyte",0.00238601639110152,3
"C7","Pericyte",0.0041960898268418,3
"C8","Pericyte",0.0066578575740427,3
"C9","Pericyte",0.00232341797612992,3
"C1","Activated_MG",0.0965426244852096,8
"C10","Activated_MG",0.222813982961653,8
"C11","Activated_MG",0.0982090136370009,8
"C12","Activated_MG",0.0958367430234224,8
"C13","Activated_MG",0.111063142654684,8
"C14","Activated_MG",0.1213101657295,8
"C15","Activated_MG",0.105186564671281,8
"C16","Activated_MG",0.221593573901599,8
"C17","Activated_MG",0.121447031544569,8
"C18","Activated_MG",0.114916971437539,8
"C19","Activated_MG",0.176849278465094,8
"C2","Activated_MG",0.0744457573760798,8
"C20","Activated_MG",0.144490741180613,8
"C21","Activated_MG",0.100713293772807,8
"C22","Activated_MG",0.0823549439113561,8
"C3","Activated_MG",0.0710277161912257,8
"C4","Activated_MG",0.0833543170391552,8
"C5","Activated_MG",0.121366944553853,8
"C6","Activated_MG",0.110387237734575,8
"C7","Activated_MG",0.0761924580023355,8
"C8","Activated_MG",0.117460489695844,8
"C9","Activated_MG",0.113376982135093,8
"C1","Proliferation",0.329700761798443,5
"C10","Proliferation",0.466032118054198,5
"C11","Proliferation",0.355271440203288,5
"C12","Proliferation",4.99951249112157,5
"C13","Proliferation",1.90509656858859,5
"C14","Proliferation",1.16027019768417,5
"C15","Proliferation",1.70923979787134,5
"C16","Proliferation",2.08499170067123,5
"C17","Proliferation",0.446436822587177,5
"C18","Proliferation",0.388862868508158,5
"C19","Proliferation",0.569459430408631,5
"C2","Proliferation",0.317762640748955,5
"C20","Proliferation",1.76063703870507,5
"C21","Proliferation",4.77588181977078,5
"C22","Proliferation",2.04753338198185,5
"C3","Proliferation",0.352448405793313,5
"C4","Proliferation",0.335421956049388,5
"C5","Proliferation",0.837578792564146,5
"C6","Proliferation",0.285224191850544,5
"C7","Proliferation",0.476468798896902,5
"C8","Proliferation",0.806527987486447,5
"C9","Proliferation",0.349754477132612,5
"C1","Neurogenic_TF",0.185976878493367,9
"C10","Neurogenic_TF",2.19517945585725,9
"C11","Neurogenic_TF",2.64502951159034,9
"C12","Neurogenic_TF",0.254574664584895,9
"C13","Neurogenic_TF",0.174023167888061,9
"C14","Neurogenic_TF",0.344072300833325,9
"C15","Neurogenic_TF",0.39925867123352,9
"C16","Neurogenic_TF",0.293336235541867,9
"C17","Neurogenic_TF",1.46249550606891,9
"C18","Neurogenic_TF",0.411065113460947,9
"C19","Neurogenic_TF",3.01780002318904,9
"C2","Neurogenic_TF",0.164649076773288,9
"C20","Neurogenic_TF",1.51613043722315,9
"C21","Neurogenic_TF",2.04428056297385,9
"C22","Neurogenic_TF",1.44452519922539,9
"C3","Neurogenic_TF",0.120259731051691,9
"C4","Neurogenic_TF",0.101702324863541,9
"C5","Neurogenic_TF",0.328530875817938,9
"C6","Neurogenic_TF",0.111933734582118,9
"C7","Neurogenic_TF",0.474336975420605,9
"C8","Neurogenic_TF",0.228801478536608,9
"C9","Neurogenic_TF",3.47863662723738,9
"C1","Neurogenic_Progenitor",0.188105453482067,13
"C10","Neurogenic_Progenitor",2.69250929827478,13
"C11","Neurogenic_Progenitor",2.96235469522848,13
"C12","Neurogenic_Progenitor",0.803988175410685,13
"C13","Neurogenic_Progenitor",0.715259675787825,13
"C14","Neurogenic_Progenitor",0.956653607304861,13
"C15","Neurogenic_Progenitor",0.650539739818148,13
"C16","Neurogenic_Progenitor",0.703648693403691,13
"C17","Neurogenic_Progenitor",1.5461131036356,13
"C18","Neurogenic_Progenitor",0.553386896456183,13
"C19","Neurogenic_Progenitor",2.82540657158714,13
"C2","Neurogenic_Progenitor",0.170555400793584,13
"C20","Neurogenic_Progenitor",1.88377322067246,13
"C21","Neurogenic_Progenitor",1.98035769527351,13
"C22","Neurogenic_Progenitor",1.36831282074745,13
"C3","Neurogenic_Progenitor",0.137343479752408,13
"C4","Neurogenic_Progenitor",0.118223232159922,13
"C5","Neurogenic_Progenitor",0.453776619349847,13
"C6","Neurogenic_Progenitor",0.123317498465527,13
"C7","Neurogenic_Progenitor",0.666414263827589,13
"C8","Neurogenic_Progenitor",0.280243187632768,13
"C9","Neurogenic_Progenitor",3.48468286059663,13
"C1","Stress_Response",0.031335101978095,7
"C10","Stress_Response",0.0693588732363797,7
"C11","Stress_Response",0.061033724316309,7
"C12","Stress_Response",0.0964367831943507,7
"C13","Stress_Response",0.110273458509689,7
"C14","Stress_Response",0.0780966578394712,7
"C15","Stress_Response",0.0688699846012964,7
"C16","Stress_Response",0.168128325040374,7
"C17","Stress_Response",0.0481524424338027,7
"C18","Stress_Response",0.0431746700013393,7
"C19","Stress_Response",0.0982712621328919,7
"C2","Stress_Response",0.050599822420128,7
"C20","Stress_Response",0.0802524407223221,7
"C21","Stress_Response",0.083212332652076,7
"C22","Stress_Response",0.0876980861552379,7
"C3","Stress_Response",0.0559090018051426,7
"C4","Stress_Response",0.043345865104446,7
"C5","Stress_Response",0.106026541836984,7
"C6","Stress_Response",0.0971385851140334,7
"C7","Stress_Response",0.0483790504089468,7
"C8","Stress_Response",0.12472823635927,7
"C9","Stress_Response",0.0553586377090873,7
"C1","Low_Quality_Diagnostic",296.289342353467,1
"C10","Low_Quality_Diagnostic",309.358637923929,1
"C11","Low_Quality_Diagnostic",357.516852639042,1
"C12","Low_Quality_Diagnostic",228.608058610069,1
"C13","Low_Quality_Diagnostic",182.186461326494,1
"C14","Low_Quality_Diagnostic",108.647856737573,1
"C15","Low_Quality_Diagnostic",239.923243184463,1
"C16","Low_Quality_Diagnostic",103.470647527522,1
"C17","Low_Quality_Diagnostic",312.521845003578,1
"C18","Low_Quality_Diagnostic",230.058516831193,1
"C19","Low_Quality_Diagnostic",251.400395037107,1
"C2","Low_Quality_Diagnostic",320.352334398937,1
"C20","Low_Quality_Diagnostic",258.698485620794,1
"C21","Low_Quality_Diagnostic",238.942317891062,1
"C22","Low_Quality_Diagnostic",188.990680357423,1
"C3","Low_Quality_Diagnostic",257.626547454496,1
"C4","Low_Quality_Diagnostic",325.916669816765,1
"C5","Low_Quality_Diagnostic",255.541918545013,1
"C6","Low_Quality_Diagnostic",274.941535891336,1
"C7","Low_Quality_Diagnostic",270.628276723836,1
"C8","Low_Quality_Diagnostic",269.958639034655,1
"C9","Low_Quality_Diagnostic",442.378766332008,1
