"cluster","metric","n_cells","mean","median","sd","q05","q25","q75","q95"
"C8","NucleosomeRatio",2531,0.554068157604816,0.551143000166861,0.0568718916761925,0.464867178455085,0.516508388865058,0.587412558821,0.650577641979673
"C9","NucleosomeRatio",3322,0.597733986331736,0.593737574165937,0.0664322091847028,0.498157518207005,0.554377662518206,0.636237074815639,0.71139489036667
"C1","ReadsInTSS",281,1247.10676156584,1084,891.614324047665,154,602,1658,3047
"C10","ReadsInTSS",1510,931.641721854305,782,667.731137174016,188,435,1263,2144
"C11","ReadsInTSS",737,1080.0854816825,966,714.24395419693,171.6,554,1468,2467.2
"C12","ReadsInTSS",2551,1044,942,639.432400265895,219,565.5,1407,2197.5
"C2","ReadsInTSS",2193,1321.10214318285,1224,764.372627843937,305,761,1714,2712.2
"C3","ReadsInTSS",3157,1877.97941083307,1633,1223.94493009613,333.8,947,2563,4291
"C4","ReadsInTSS",10075,861.042580645161,695,628.611367233981,179,383.5,1179.5,2099.9
"C5","ReadsInTSS",2582,1436.31564678544,1153.5,1162.66905387758,231.05,593,1894,3639.95
"C6","ReadsInTSS",1481,2148.16542876435,1966,1325.74979867844,322,1148,2943,4587
"C7","ReadsInTSS",1327,1788.47174076865,1602,1230.21810249487,239,846,2474,4064.5
"C8","ReadsInTSS",2531,983.3429474516,815,727.18112534631,198.5,442.5,1326,2346
"C9","ReadsInTSS",3322,873.32059000602,745,592.107940989215,180.05,412,1181,1987.75
"C1","ReadsInPromoter",281,5876.10676156584,5375,4015.67629991563,728,2937,8005,13622
"C10","ReadsInPromoter",1510,4233.33046357616,3576,2974.94220381442,857.9,2000,5745,9354.5
"C11","ReadsInPromoter",737,5138.24287652646,4703,3235.37570468125,832.4,2740,6891,10875.6
"C12","ReadsInPromoter",2551,4727.94786358291,4281,2885.29719025688,976,2563,6401,9780
"C2","ReadsInPromoter",2193,5771.13315093479,5411,3278.48422637523,1339.6,3398,7577,11497.6
"C3","ReadsInPromoter",3157,8188.01140323092,7326,5175.07751078012,1468,4268,11027,18178
"C4","ReadsInPromoter",10075,3899.06312655087,3189,2777.07008794561,823,1760.5,5387.5,9302.29999999999
"C5","ReadsInPromoter",2582,6513.47831138652,5287.5,5142.97789888856,1045.05,2779.25,8720.75,16219.85
"C6","ReadsInPromoter",1481,9783.82444294396,9167,5921.64684318265,1486,5272,13342,20506
"C7","ReadsInPromoter",1327,8019.78296910324,7234,5407.92093560668,1082.4,3852,10912,18063.4
"C8","ReadsInPromoter",2531,4403.99288818649,3665,3195.54187861357,888.5,2032.5,5938.5,10156
"C9","ReadsInPromoter",3322,3821.15201685731,3281,2526.31375610559,836,1839.75,5207.75,8445.45
"C1","PromoterRatio",281,0.23936586065089,0.227059325650875,0.0805346972262622,0.135364177737059,0.174945100909756,0.280661907852044,0.397539149888143
"C10","PromoterRatio",1510,0.248379140914292,0.237867743261934,0.0389010813846982,0.20021514415831,0.220714253125257,0.272026895274824,0.322867980941199
"C11","PromoterRatio",737,0.180423614043645,0.165453944104515,0.0417689497989975,0.133741587248233,0.148272796545593,0.211365073027914,0.259568362691872
"C12","PromoterRatio",2551,0.233361853308565,0.219829831567981,0.0456693924967182,0.178779679768218,0.20175695837835,0.259231544177175,0.325115165503212
"C2","PromoterRatio",2193,0.284919454014781,0.277004320691311,0.0459729976087878,0.222707461426671,0.246186937817755,0.321660891239589,0.362000624170187
"C3","PromoterRatio",3157,0.290610576307354,0.280776048847745,0.0484331773541984,0.225615400205762,0.251266909578255,0.329037454691905,0.374954072024662
"C4","PromoterRatio",10075,0.272297053967442,0.260825341470503,0.0455850492338586,0.213459749614098,0.239313209420019,0.302398395333373,0.358453827734189
"C5","PromoterRatio",2582,0.261115986103315,0.250629245495323,0.04107328271163,0.209969691589488,0.231163820899074,0.28609156499448,0.341813450678083
"C6","PromoterRatio",1481,0.239824063283651,0.235846560846561,0.038164362650508,0.181249461933595,0.215465086967482,0.262099791281062,0.30818734358241
"C7","PromoterRatio",1327,0.270774142604831,0.26496138996139,0.0372379221756671,0.221773800470489,0.244674110752611,0.291639047458574,0.340302868081349
"C8","PromoterRatio",2531,0.269210272013426,0.256177325581395,0.0460589776703519,0.211244298293595,0.233852054967425,0.304048256261807,0.354928742286277
"C9","PromoterRatio",3322,0.284834420643106,0.273009279962411,0.0476447132296064,0.222640675425339,0.249796277402815,0.317083501232841,0.373556251588003
