"cluster","metric","n_cells","mean","median","sd","q05","q25","q75","q95"
"C22","Gex_Log10_nGenes",1145,3.25544229133009,3.25163822044821,0.0831853710141213,3.13033376849501,3.20085049809108,3.29841638006129,3.39939674238331
"C23","Gex_Log10_nGenes",1033,3.54845262884278,3.545059584694,0.0999914532975218,3.39991575768139,3.48529543872609,3.6126779183165,3.7057781623285
"C24","Gex_Log10_nGenes",1526,3.5049312667937,3.4996870826184,0.095800027780119,3.36238818590459,3.44318470799865,3.55924809168889,3.67361983145261
"C25","Gex_Log10_nGenes",766,3.52941034647952,3.5247205808395,0.0977024909218044,3.38426375797884,3.46187351342762,3.58913920944738,3.70152475451744
"C3","Gex_Log10_nGenes",117,3.58312423627487,3.59006123080374,0.116418092263639,3.4021885868623,3.5009222391903,3.66426580014768,3.77084256027337
"C4","Gex_Log10_nGenes",253,3.56467441614025,3.55834850876162,0.0975278699676465,3.42641353908877,3.49415459401844,3.6353832040475,3.72638297336376
"C5","Gex_Log10_nGenes",763,3.33475748189982,3.32837960343874,0.0919271024387304,3.19813357380512,3.27795271119768,3.37894269861344,3.51233698841481
"C6","Gex_Log10_nGenes",464,3.39911277919406,3.39672213874796,0.0845902086871275,3.27564120645951,3.34879143487454,3.44090899658852,3.55476811749332
"C7","Gex_Log10_nGenes",204,3.60065681724307,3.59911856505536,0.0806018178115676,3.4815929530147,3.54749753530841,3.65127684759536,3.74728437110285
"C8","Gex_Log10_nGenes",413,3.42663250084309,3.41863268735407,0.0880373138792126,3.29495090086309,3.37694175714676,3.46819958607261,3.5835387305893
"C9","Gex_Log10_nGenes",262,3.40333968799602,3.39759229484121,0.0862352162853232,3.26786262260362,3.35391623092036,3.45381500247403,3.55439730457994
"C1","Gex_MitoPercent",1160,0,0,0,0,0,0,0
"C10","Gex_MitoPercent",407,0,0,0,0,0,0,0
"C11","Gex_MitoPercent",1274,0,0,0,0,0,0,0
"C12","Gex_MitoPercent",1337,0,0,0,0,0,0,0
"C13","Gex_MitoPercent",1704,0,0,0,0,0,0,0
"C14","Gex_MitoPercent",6259,0,0,0,0,0,0,0
"C15","Gex_MitoPercent",1132,0,0,0,0,0,0,0
"C16","Gex_MitoPercent",475,0,0,0,0,0,0,0
"C17","Gex_MitoPercent",437,0,0,0,0,0,0,0
"C18","Gex_MitoPercent",512,0,0,0,0,0,0,0
"C19","Gex_MitoPercent",4598,0,0,0,0,0,0,0
"C2","Gex_MitoPercent",1064,0,0,0,0,0,0,0
"C20","Gex_MitoPercent",3113,0,0,0,0,0,0,0
"C21","Gex_MitoPercent",1115,0,0,0,0,0,0,0
"C22","Gex_MitoPercent",1145,0,0,0,0,0,0,0
"C23","Gex_MitoPercent",1033,0,0,0,0,0,0,0
"C24","Gex_MitoPercent",1526,0,0,0,0,0,0,0
"C25","Gex_MitoPercent",766,0,0,0,0,0,0,0
"C3","Gex_MitoPercent",117,0,0,0,0,0,0,0
