"cluster","metric","n_cells","mean","median","sd","q05","q25","q75","q95"
"C6","log10_nFrags",5952,3.77672235782363,3.80430983210988,0.337140538699269,3.17727661622553,3.5327225345516,4.04122485410907,4.2740746566231
"C7","log10_nFrags",1598,4.13985797593343,4.22282036925563,0.365512302361461,3.36061215529347,3.9586457743095,4.3975750438256,4.60329821331218
"C8","log10_nFrags",1521,3.79282283058749,3.82891756161669,0.321245155787698,3.21510858105309,3.56253076886226,4.04269361817864,4.25423378265015
"C9","log10_nFrags",1854,4.09598236172244,4.17049639683226,0.350606080819292,3.36391253782191,3.9124212133363,4.34489306686897,4.55466294722046
"C1","NucleosomeRatio",181,0.543444758786144,0.518183178689015,0.110480859223999,0.412921634566392,0.470894200973882,0.593217127699886,0.775324220119173
"C10","NucleosomeRatio",33,0.593018441959827,0.580289193302892,0.0900351261997313,0.48659669653408,0.530331934376192,0.638157894736842,0.705762475820128
"C11","NucleosomeRatio",1257,0.538036673777505,0.538190364277321,0.0548447060116013,0.451266321173063,0.501142238788025,0.57324712063043,0.630317705974684
"C12","NucleosomeRatio",1848,0.538659302961094,0.53515887308217,0.0568600636727468,0.452706300110434,0.5,0.573235115822824,0.63673867531743
"C13","NucleosomeRatio",1792,0.569067658797521,0.565811929116532,0.0581089678961792,0.481697091074563,0.530283839157532,0.605694026526218,0.67044370393602
"C14","NucleosomeRatio",1226,0.601692045212985,0.598783042529729,0.0698189847346191,0.500355564694885,0.555514360578935,0.641142732739137,0.722867399494087
"C15","NucleosomeRatio",1345,0.603174265815126,0.596551724137931,0.0651075509819837,0.504912932572507,0.561121049493143,0.639946559786239,0.718441679869544
"C16","NucleosomeRatio",113,0.567122673326983,0.56872659898869,0.0555409214710899,0.474376596435275,0.537972566075611,0.595311774717623,0.665313222095651
"C17","NucleosomeRatio",349,0.579082554269337,0.57392698389565,0.0547613451943204,0.500347887935562,0.541531962584594,0.611251049538203,0.67663632580602
"C18","NucleosomeRatio",718,0.626781782867039,0.615953109876635,0.0732061551921215,0.529380716160647,0.577291807707924,0.659603890146261,0.763713843751488
"C19","NucleosomeRatio",254,0.587791683236007,0.580091788286305,0.0569431275324865,0.500017363374369,0.553324041291318,0.617447571354735,0.69603952305205
"C2","NucleosomeRatio",140,0.531810362842995,0.529268452510674,0.0524993072577684,0.451996540198432,0.497667693166792,0.559696227889897,0.620764941870123
"C20","NucleosomeRatio",1227,0.563416317030949,0.557961031293053,0.0578033700842653,0.478559040641672,0.526199072679774,0.596686566764408,0.661745403783204
"C21","NucleosomeRatio",255,0.582849625967796,0.579372559579911,0.0548411657843608,0.505514058543125,0.548111625839115,0.611561405506649,0.672828911920039
"C22","NucleosomeRatio",421,0.577613281647986,0.572273607227361,0.0546123347229122,0.497974797479748,0.542595541401274,0.605168986083499,0.676380680660281
"C23","NucleosomeRatio",389,0.573727604784947,0.571428571428571,0.0591386673952144,0.491531402571509,0.53833436660467,0.606480025165146,0.662737681434833
"C3","NucleosomeRatio",2497,0.522214386088013,0.519660146216163,0.0504458125717771,0.443367824485976,0.487861271676301,0.553725196555597,0.608397604295262
