"matrix","module","gene","present","total_counts_or_score","fraction_cells_detected"
"GeneScoreMatrix","Neurogenic_Progenitor","Crx",TRUE,15525.493,0.292626074904715
"GeneScoreMatrix","Neurogenic_Progenitor","Olig2",TRUE,30173.2209999999,0.488361104986298
"GeneScoreMatrix","Neurogenic_Progenitor","Foxn4",TRUE,20732.192,0.423851072542287
"GeneScoreMatrix","Stress_Response","Fos",TRUE,20312.838,0.282987368885249
"GeneScoreMatrix","Stress_Response","Jun",TRUE,43066.5609999998,0.48918008000756
"GeneScoreMatrix","Stress_Response","Atf3",TRUE,7256.29700000001,0.256276183576401
"GeneScoreMatrix","Stress_Response","Ddit3",TRUE,55126.3579999997,0.591646454783129
"GeneScoreMatrix","Stress_Response","Hspa1a",TRUE,5057.328,0.0884808013355593
"GeneScoreMatrix","Stress_Response","Hspa1b",TRUE,7704.085,0.129020064888021
"GeneScoreMatrix","Stress_Response","Gadd45b",TRUE,38605.0110000001,0.465303808233849
"GeneScoreMatrix","Low_Quality_Diagnostic","Malat1",TRUE,31605.3970000001,0.504268119822345
