"config_id","cluster","n_cells","UMAP_1","UMAP_2"
"dims01_30_nn50_md04","C1",1679,6.68457726206149,-2.55401344316798
"dims01_30_nn50_md04","C10",343,1.73238346539681,2.61416855746446
"dims01_30_nn50_md04","C11",726,6.35899701523463,4.46098025265156
"dims01_30_nn50_md04","C12",3417,-6.0625115922877,-0.669549342990823
"dims01_30_nn50_md04","C13",2305,-5.20203635758377,-1.07170987874881
"dims01_30_nn50_md04","C14",708,-3.4467900215046,0.348789175594006
"dims01_30_nn50_md04","C15",5609,-4.68515915114872,-0.369818364977419
"dims01_30_nn50_md04","C16",2776,-2.9476950515164,-0.708134222595287
"dims01_30_nn50_md04","C17",1362,3.00069801642505,3.10859829090815
"dims01_30_nn50_md04","C18",1357,0.953237965284194,-0.158826165919473
"dims01_30_nn50_md04","C19",529,-0.366724405240417,0.0110170487547215
"dims01_30_nn50_md04","C2",1269,9.42848934754184,-4.33801869465189
"dims01_30_nn50_md04","C20",692,0.981067197167378,-1.14201633876544
"dims01_30_nn50_md04","C21",1679,3.357071588981,-0.765384176706467
"dims01_30_nn50_md04","C3",1621,9.04766206424988,-3.90477215656416
"dims01_30_nn50_md04","C4",1376,5.06972627948831,6.59381553412417
"dims01_30_nn50_md04","C5",414,5.93385808564733,7.48760202570823
"dims01_30_nn50_md04","C6",256,6.21550318456441,6.81023505285313
"dims01_30_nn50_md04","C7",386,5.98265668178033,7.393759305504
"dims01_30_nn50_md04","C8",113,4.23626771023098,4.7559922907276
"dims01_30_nn50_md04","C9",245,5.01866269509874,5.2329660382888
"dims01_30_nn30_md02","C1",1679,6.35731755715743,-2.39447880775288
"dims01_30_nn30_md02","C10",343,2.90334784993255,4.10133328208411
"dims01_30_nn30_md02","C11",726,6.59570172324937,5.59442830483242
"dims01_30_nn30_md02","C12",3417,-5.73524966245841,-1.08382594951434
"dims01_30_nn30_md02","C13",2305,-4.987294472641,-1.3249210306138
"dims01_30_nn30_md02","C14",708,-3.52304799582424,0.0815841209722805
"dims01_30_nn30_md02","C15",5609,-4.54826093360312,-0.672294788457669
"dims01_30_nn30_md02","C16",2776,-2.99788676034794,-0.75896401854547
"dims01_30_nn30_md02","C17",1362,3.41522314131508,3.25865302835268
"dims01_30_nn30_md02","C18",1357,0.918212895142042,-0.0207445790383887
"dims01_30_nn30_md02","C19",529,-0.363546085398518,0.0114846133051196
"dims01_30_nn30_md02","C2",1269,8.59478241914207,-4.21240703807246
"dims01_30_nn30_md02","C20",692,0.951044721313818,-0.844034347829334
"dims01_30_nn30_md02","C21",1679,3.25596342565738,-0.533308360703007
"dims01_30_nn30_md02","C3",1621,8.33673987854642,-3.83867955406603
"dims01_30_nn30_md02","C4",1376,5.07607710445351,6.89650892466611
"dims01_30_nn30_md02","C5",414,5.50976226477976,7.81689807513204
"dims01_30_nn30_md02","C6",256,5.8220771573814,7.39203752103826
"dims01_30_nn30_md02","C7",386,5.56072328046678,7.76779925523572
"dims01_30_nn30_md02","C8",113,4.59455894012238,5.64935446825443
"dims01_30_nn30_md02","C9",245,5.26486790350004,6.14631376208579
"dims01_30_nn30_md08","C1",1679,7.70548652371915,-3.6276280168173
"dims01_30_nn30_md08","C10",343,1.08497311755867,3.06656050394399
"dims01_30_nn30_md08","C11",726,6.552385811242,6.06896720232428
"dims01_30_nn30_md08","C12",3417,-6.93160741623538,-1.03038473193882
"dims01_30_nn30_md08","C13",2305,-5.75528907605871,-1.59687550985302
"dims01_30_nn30_md08","C14",708,-3.60328858769756,0.425524701137274
"dims01_30_nn30_md08","C15",5609,-5.14787969072577,-0.583965085793519
"dims01_30_nn30_md08","C16",2776,-2.90413795917081,-1.01098400634684
"dims01_30_nn30_md08","C17",1362,2.35871497695532,4.30414469377404
