"gene","group","log2FC_TH2_vs_TH1","statistic","auc","p_value","padj","mean_expression_TH1","mean_expression_TH2","pct_detected_TH1","pct_detected_TH2","max_pct_detected","delta_pct_detected_TH2_minus_TH1","direction","celltype_output_label","manual_celltype","n_cells_TH1","n_cells_TH2"
"Stk39","TH2",0.307187889240337,919680.5,0.562624761030817,5.39029124327997e-12,3.15517909843715e-10,0.602283135635689,0.909471024876026,0.225739848589126,0.351111111111111,0.351111111111111,0.125371262521985,"Higher in TH2","nRPC","nPRC",1453,1125
"Mdm1","TH2",-0.589773836166032,700522.5,0.428552420279881,6.31481319857657e-12,3.67522128157156e-10,1.57157944216175,0.981805605995714,0.483826565726084,0.377777777777778,0.483826565726084,-0.106048787948306,"Higher in TH1","nRPC","nPRC",1453,1125
"Yap1","TH2",0.303300519138808,914012.5,0.559157299074711,6.77816698716982e-12,3.92247902070026e-10,0.448633650644967,0.751934169783775,0.191328286304198,0.308444444444444,0.308444444444444,0.117116158140246,"Higher in TH2","nRPC","nPRC",1453,1125
"Hnrnpa2b1","TH2",-1.46969735138636,688770,0.421362697866483,6.97616102249222e-12,4.01424858836628e-10,10.5743999016743,9.10470255028793,0.972470750172058,0.968,0.972470750172058,-0.00447075017205789,"Higher in TH1","nRPC","nPRC",1453,1125
"Cxxc5","TH2",-0.823729014410564,693604.5,0.424320256939665,8.52391366257195e-12,4.87730677827502e-10,2.65435586943622,1.83062685502566,0.629043358568479,0.552888888888889,0.629043358568479,-0.0761544696795902,"Higher in TH1","nRPC","nPRC",1453,1125
"Tomm20","TH2",0.38212427427032,927784.5,0.567582473044276,8.68047035718009e-12,4.93913913898766e-10,0.738308584264634,1.12043285853495,0.310392291810048,0.438222222222222,0.438222222222222,0.127829930412174,"Higher in TH2","nRPC","nPRC",1453,1125
"Hspa13","TH2",-0.34447405453913,719308.5,0.440044964441386,8.78035833257102e-12,4.96821942317977e-10,0.735292720442269,0.390818665903138,0.302821748107364,0.193777777777778,0.302821748107364,-0.109043970329586,"Higher in TH1","nRPC","nPRC",1453,1125
"Kif21a","TH2",1.12899175856158,944527.5,0.577825189263593,8.93685073025694e-12,5.02883009324127e-10,4.19299677167223,5.32198853023381,0.738472126634549,0.838222222222222,0.838222222222222,0.099750095587673,"Higher in TH2","nRPC","nPRC",1453,1125
"E2f1","TH2",-0.673657372828179,697885,0.42693890035941,9.72257185352903e-12,5.44090078726336e-10,2.15807622872771,1.48441885589953,0.551273227804542,0.434666666666667,0.551273227804542,-0.116606561137876,"Higher in TH1","nRPC","nPRC",1453,1125
"Col9a1","TH2",0.684757864902112,927983.5,0.567704213504626,1.19460453090987e-11,6.64865964334265e-10,1.08881160301977,1.77356946792189,0.323468685478321,0.446222222222222,0.446222222222222,0.122753536743902,"Higher in TH2","nRPC","nPRC",1453,1125
"Lmnb1","TH2",-1.07830341891693,690911,0.422672478397186,1.28706686707788e-11,7.1243348049936e-10,4.77642759878026,3.69812417986333,0.812112869924295,0.789333333333333,0.812112869924295,-0.0227795365909612,"Higher in TH1","nRPC","nPRC",1453,1125
"Gnai3","TH2",0.385991896971482,925740.5,0.56633203334098,1.30652607533302e-11,7.15428391250902e-10,0.787956929981216,1.1739488269527,0.29525120440468,0.430222222222222,0.430222222222222,0.134971017817542,"Higher in TH2","nRPC","nPRC",1453,1125
"Chst11","TH2",-0.612728846747093,706913.5,0.432462185516556,1.34050603076311e-11,7.28353322808736e-10,1.48428059978839,0.871551753041295,0.424638678596008,0.315555555555556,0.424638678596008,-0.109083123040453,"Higher in TH1","nRPC","nPRC",1453,1125
"Smarca2","TH2",0.386324218414321,918869.5,0.562128622772807,1.34443225025078e-11,7.28353322808736e-10,0.595083105426236,0.981407323840557,0.237439779766001,0.357333333333333,0.357333333333333,0.119893553567332,"Higher in TH2","nRPC","nPRC",1453,1125
"Fbxl20","TH2",0.436068520183028,931145,0.569638296245316,1.67252524535115e-11,8.96561559152708e-10,1.2737838082326,1.70985232841563,0.370268410185822,0.504888888888889,0.504888888888889,0.134620478703066,"Higher in TH2","nRPC","nPRC",1453,1125
"Egflam","TH2",0.469978160699743,906628.5,0.5546400550585,1.71538221297629e-11,9.14720829275577e-10,0.773219835928,1.24319799662774,0.158981417756366,0.269333333333333,0.269333333333333,0.110351915576967,"Higher in TH2","nRPC","nPRC",1453,1125
"Med12l","TH2",0.554038002153256,930764,0.56940521526344,1.75170305719343e-11,9.29223731120575e-10,1.22758822292006,1.78162622507331,0.367515485203028,0.499555555555556,0.499555555555556,0.132040070352527,"Higher in TH2","nRPC","nPRC",1453,1125
"Lrig2","TH2",0.338672192732601,925876.5,0.566415232851571,1.9046862334952e-11,1.00514141389371e-09,0.833883049209223,1.17255524194182,0.307639366827254,0.44,0.44,0.132360633172746,"Higher in TH2","nRPC","nPRC",1453,1125
"Sorcs2","TH2",-1.27248014452312,691935.5,0.423299227651602,2.00694208684621e-11,1.05179906826088e-09,5.71519486022828,4.44271471570516,0.849965588437715,0.805333333333333,0.849965588437715,-0.0446322551043817,"Higher in TH1","nRPC","nPRC",1453,1125
