"gene","group","log2FC_TH2_vs_TH1","statistic","auc","p_value","padj","mean_expression_TH1","mean_expression_TH2","pct_detected_TH1","pct_detected_TH2","max_pct_detected","delta_pct_detected_TH2_minus_TH1","direction","celltype_output_label","manual_celltype","n_cells_TH1","n_cells_TH2"
"Ctnnd2","TH2",-1.4319568189346,24957484,0.455524965138606,7.3096015485057e-21,2.41375755482177e-19,15.839084398712,14.4071275797774,0.964466292134831,0.952046783625731,0.964466292134831,-0.0124195085091005,"Higher in TH1","pRPC","pRPC",7120,7695
"Slc25a3","TH2",0.295950485165017,29470602.5,0.537898578896263,7.29317512176618e-21,2.41375755482177e-19,1.07992486040212,1.37587534556713,0.313483146067416,0.384795321637427,0.384795321637427,0.0713121755700112,"Higher in TH2","pRPC","pRPC",7120,7695
"Zfp407","TH2",-0.599709025782859,25051476,0.457240510765052,9.71218771871263e-21,3.19555519380314e-19,3.56041654713541,2.96070752135255,0.618539325842697,0.560363872644574,0.618539325842697,-0.0581754531981222,"Higher in TH1","pRPC","pRPC",7120,7695
"Nisch","TH2",-0.370071380412711,25219983,0.460316107059158,1.272258145913e-20,4.17099307260831e-19,1.75507559446366,1.38500421405095,0.456601123595506,0.38856400259909,0.456601123595506,-0.0680371209964153,"Higher in TH1","pRPC","pRPC",7120,7695
"Rer1","TH2",0.275395023408564,29397064.5,0.536556360470465,1.37446442350674e-20,4.4899171167887e-19,0.913403190311417,1.18879821371998,0.283988764044944,0.352956465237167,0.352956465237167,0.0689677011922232,"Higher in TH2","pRPC","pRPC",7120,7695
"Gli1","TH2",-0.25006942728137,25649289,0.468151816807937,1.5499618848764e-20,5.00934490027074e-19,0.822809853805755,0.572740426524385,0.249578651685393,0.18856400259909,0.249578651685393,-0.0610146490863029,"Higher in TH1","pRPC","pRPC",7120,7695
"Nol4","TH2",0.72616705906795,29760736,0.543194106781728,1.77038181519532e-20,5.70150525218732e-19,4.1357239660008,4.86189102506875,0.633988764044944,0.69330734243015,0.69330734243015,0.0593185783852056,"Higher in TH2","pRPC","pRPC",7120,7695
"Abca5","TH2",0.404225325418667,29674334.5,0.541617103255434,1.86947079253538e-20,5.99942140956601e-19,2.18533550507445,2.58956083049312,0.490308988764045,0.561793372319688,0.561793372319688,0.0714843835556431,"Higher in TH2","pRPC","pRPC",7120,7695
"Rpl23","TH2",0.559077668601815,29773758.5,0.543431793956385,2.27854159826355e-20,7.28653618476279e-19,3.98072344788244,4.53980111648426,0.70126404494382,0.742170240415854,0.742170240415854,0.0409061954720342,"Higher in TH2","pRPC","pRPC",7120,7695
"Kif3a","TH2",0.402747219870755,29553157,0.539405366829475,2.34040057840963e-20,7.45818561944942e-19,1.47655031423043,1.87929753410118,0.3875,0.45237166991553,0.45237166991553,0.0648716699155296,"Higher in TH2","pRPC","pRPC",7120,7695
"Depdc1b","TH2",0.31581822238568,29140765,0.53187837206416,3.60778349621201e-20,1.14569124684586e-18,0.653239989370785,0.969058211756465,0.193960674157303,0.251981806367771,0.251981806367771,0.0580211322104679,"Higher in TH2","pRPC","pRPC",7120,7695
"Rpl9","TH2",0.497570676556932,29738550,0.54278916704996,3.66503595528883e-20,1.15983117001745e-18,3.20645211056922,3.70402278712616,0.626404494382023,0.689668615984405,0.689668615984405,0.0632641216023829,"Higher in TH2","pRPC","pRPC",7120,7695
"Timm23","TH2",0.314215601583816,29460813.5,0.537719909688912,4.3481389522756e-20,1.37124354363459e-18,1.22715114450436,1.54136674608818,0.332724719101124,0.403508771929825,0.403508771929825,0.0707840528287009,"Higher in TH2","pRPC","pRPC",7120,7695
"Tshr","TH2",0.424734982346262,29395289.5,0.536523963101678,4.54534868297912e-20,1.42358446380315e-18,1.36144693764721,1.78618191999347,0.297752808988764,0.365692007797271,0.365692007797271,0.0679391988085069,"Higher in TH2","pRPC","pRPC",7120,7695
"Egfr","TH2",0.269086927185096,28928468.5,0.528003528119091,5.36554928511311e-20,1.66332027838506e-18,0.505176128620571,0.774263055805666,0.135393258426966,0.189863547758285,0.189863547758285,0.0544702893313183,"Higher in TH2","pRPC","pRPC",7120,7695
"Rps28","TH2",0.474615664175841,29687742.5,0.54186182659103,8.07439202992109e-20,2.47777807948487e-18,2.62880569624671,3.10342136042256,0.569943820224719,0.630019493177388,0.630019493177388,0.0600756729526688,"Higher in TH2","pRPC","pRPC",7120,7695
"Syt11","TH2",-0.344855341486803,25388151.5,0.463385525038147,8.39852700656747e-20,2.5685964811361e-18,1.46072974573004,1.11587440424324,0.378511235955056,0.31124106562703,0.378511235955056,-0.0672701703280257,"Higher in TH1","pRPC","pRPC",7120,7695
"Tspan15","TH2",0.44442208650559,29678464.5,0.541692484175482,8.4743844672821e-20,2.58312842925783e-18,2.41359078769733,2.85801287420292,0.55814606741573,0.615594541910331,0.615594541910331,0.057448474494601,"Higher in TH2","pRPC","pRPC",7120,7695
"Itgb3bp","TH2",-0.400881628896731,25269791.5,0.461225213731374,8.88341788013947e-20,2.68981629766084e-18,2.00506187792225,1.60418024902552,0.455898876404494,0.387654320987654,0.455898876404494,-0.06824455541684,"Higher in TH1","pRPC","pRPC",7120,7695
"Pdia6","TH2",-0.409911895182422,25135157,0.45876785961992,1.2215918075063e-19,3.66236438605671e-18,2.67631488499791,2.26640298981549,0.599297752808989,0.533073424301495,0.599297752808989,-0.0662243285074943,"Higher in TH1","pRPC","pRPC",7120,7695
"Srpk2","TH2",0.480656363300915,29639773,0.540986285418081,1.30030655556646e-19,3.88557178604353e-18,2.33630818131087,2.81696454461179,0.516151685393258,0.578817413905133,0.578817413905133,0.0626657285118748,"Higher in TH2","pRPC","pRPC",7120,7695
"Slc4a7","TH2",-0.55804915465282,25115359,0.458406505756693,1.46980458507878e-19,4.36345243922085e-18,3.42033579606368,2.86228664141086,0.634550561797753,0.575958414554906,0.634550561797753,-0.058592147242847,"Higher in TH1","pRPC","pRPC",7120,7695
"Rps26","TH2",0.466679664305589,29703376.5,0.54214717896489,1.50333963183332e-19,4.44851863783405e-18,3.38768476813081,3.8543644324364,0.639185393258427,0.695906432748538,0.695906432748538,0.0567210394901111,"Higher in TH2","pRPC","pRPC",7120,7695
"Gpc4","TH2",0.319967130624803,29185369,0.532692486000686,2.49681284542061e-19,7.29357444652674e-18,0.848721918293859,1.16868904891866,0.223595505617978,0.284600389863548,0.284600389863548,0.0610048842455702,"Higher in TH2","pRPC","pRPC",7120,7695
"Hif1a","TH2",0.555431683553687,29682672.5,0.541769288754554,3.15056187059551e-19,9.14465633395143e-18,3.3609215339669,3.91635321752059,0.640449438202247,0.694866796621183,0.694866796621183,0.0544173584189354,"Higher in TH2","pRPC","pRPC",7120,7695
"Cox6a1","TH2",0.259218075305978,29366585.5,0.53600005658132,3.29592178999682e-19,9.53620037905748e-18,1.11933048367104,1.37854855897702,0.305898876404494,0.377647823261858,0.377647823261858,0.071748946857364,"Higher in TH2","pRPC","pRPC",7120,7695
"Gpm6a","TH2",0.843115144272154,29716445.5,0.54238571485935,3.70827718303993e-19,1.06953285589322e-17,6.67775361873858,7.52086876301073,0.829213483146067,0.859909031838856,0.859909031838856,0.0306955486927889,"Higher in TH2","pRPC","pRPC",7120,7695
"Tle4","TH2",0.565504793395713,29674146.5,0.541613671872148,3.92892089962277e-19,1.12959574382214e-17,3.67017315620358,4.2356779495993,0.630477528089888,0.692917478882391,0.692917478882391,0.0624399507925035,"Higher in TH2","pRPC","pRPC",7120,7695
"Mpped2","TH2",0.382631436236244,29296935.5,0.534728802082193,4.69854379001809e-19,1.34662038057311e-17,1.21096829858674,1.59359973482298,0.277106741573034,0.342170240415854,0.342170240415854,0.0650634988428208,"Higher in TH2","pRPC","pRPC",7120,7695
"Rxylt1","TH2",0.277114399433936,29283838.5,0.534489755130648,5.13803558943912e-19,1.46796414928364e-17,0.948863844750687,1.22597824418462,0.272331460674157,0.336192332683561,0.336192332683561,0.0638608720094034,"Higher in TH2","pRPC","pRPC",7120,7695
"Ercc6l2","TH2",-0.319308922456065,25408899,0.463764209212169,5.23624599330219e-19,1.48670236707029e-17,1.63292266618945,1.31361374373339,0.39311797752809,0.323976608187135,0.39311797752809,-0.0691413693409554,"Higher in TH1","pRPC","pRPC",7120,7695
"Mbnl2","TH2",0.65577904077962,29695661,0.542006355359894,5.25707734175545e-19,1.48798145629687e-17,4.88223621010386,5.53801525088348,0.737921348314607,0.790253411306043,0.790253411306043,0.0523320629914361,"Higher in TH2","pRPC","pRPC",7120,7695
"Gnas","TH2",0.455681536811209,29648991.5,0.541154541837323,5.78904807811225e-19,1.63347938649892e-17,2.97034740738658,3.42602894419779,0.600421348314607,0.65899935022742,0.65899935022742,0.0585780019128137,"Higher in TH2","pRPC","pRPC",7120,7695
"Cadps2","TH2",0.327069979246825,29247747.5,0.533831020800023,8.42708063823109e-19,2.36321270574887e-17,1.13703906318474,1.46410904243157,0.261095505617978,0.324106562703054,0.324106562703054,0.0630110570850764,"Higher in TH2","pRPC","pRPC",7120,7695
"Rpl13","TH2",0.613028725115424,29681463.5,0.541747222039702,1.20261039620462e-18,3.36214452484935e-17,5.67021071576255,6.28323944087797,0.816432584269663,0.84990253411306,0.84990253411306,0.0334699498433975,"Higher in TH2","pRPC","pRPC",7120,7695
"Rpl32","TH2",0.500109420650739,29646852,0.541115491600412,1.25924878223391e-18,3.50972275268498e-17,3.35151021087569,3.85161963152643,0.650280898876405,0.703833658219623,0.703833658219623,0.0535527593432187,"Higher in TH2","pRPC","pRPC",7120,7695
"Tafa1","TH2",-2.42358120731011,25106974,0.458253462411751,1.37932085410107e-18,3.82101223838211e-17,18.6311959284193,16.2076147211091,0.904073033707865,0.887589343729695,0.904073033707865,-0.0164836899781706,"Higher in TH1","pRPC","pRPC",7120,7695
"Spc25","TH2",0.442857192382186,29455011.5,0.537614011360069,1.63171990355585e-18,4.49289885226828e-17,1.7259803466473,2.16883753902949,0.398174157303371,0.458609486679662,0.458609486679662,0.0604353293762913,"Higher in TH2","pRPC","pRPC",7120,7695
"Camkmt","TH2",-0.445822874490543,25441986,0.464368114418381,2.35401735797254e-18,6.46220307245836e-17,2.03154449234868,1.58572161785813,0.39311797752809,0.329174788823912,0.39311797752809,-0.0639431887041783,"Higher in TH1","pRPC","pRPC",7120,7695
"Rims2","TH2",-0.358862508443451,25761053.5,0.470191746793117,2.40995029736304e-18,6.59148381583275e-17,1.13511498176945,0.776252473325996,0.243960674157303,0.18856400259909,0.243960674157303,-0.0553966715582131,"Higher in TH1","pRPC","pRPC",7120,7695
"Rps10","TH2",0.56373487612546,29636244,0.540921873973323,3.22593160006343e-18,8.776459881486e-17,4.04879715215106,4.61253202827652,0.711657303370786,0.753476283300845,0.753476283300845,0.0418189799300582,"Higher in TH2","pRPC","pRPC",7120,7695
"Gsk3b","TH2",-0.690508829947007,25158720.5,0.45919794153507,4.59225100007121e-18,1.23906654331199e-16,5.21207413239394,4.52156530244693,0.766994382022472,0.734243014944769,0.766994382022472,-0.0327513670777027,"Higher in TH1","pRPC","pRPC",7120,7695
"Golm2","TH2",0.289951655182897,29324202,0.535226471296844,4.59517765678576e-18,1.23906654331199e-16,1.25242119566188,1.54237285084478,0.321769662921348,0.388953866146849,0.388953866146849,0.0671842032255003,"Higher in TH2","pRPC","pRPC",7120,7695
"Ptbp2","TH2",0.776872103840174,29638997,0.540972121836009,5.84107802548918e-18,1.57037124260497e-16,7.45382692175351,8.23069902559368,0.888202247191011,0.905653021442495,0.905653021442495,0.0174507742514839,"Higher in TH2","pRPC","pRPC",7120,7695
"Ppm1d","TH2",0.296157148012026,29234209,0.53358391557337,6.64795751842206e-18,1.78204367126172e-16,1.00269396145121,1.29885110946324,0.279634831460674,0.340740740740741,0.340740740740741,0.0611059092800666,"Higher in TH2","pRPC","pRPC",7120,7695
"Akap13","TH2",-0.6816797133535,25176867.5,0.459529161282315,8.71558851740843e-18,2.32262788735849e-16,5.40780612508557,4.72612641173207,0.771769662921348,0.736972059779077,0.771769662921348,-0.034797603142271,"Higher in TH1","pRPC","pRPC",7120,7695
"Rplp2","TH2",0.485227546685489,29579829.5,0.539892194333107,9.93821787807991e-18,2.64072646474695e-16,3.13928013631461,3.6245076830001,0.631039325842697,0.685510071474984,0.685510071474984,0.0544707456322872,"Higher in TH2","pRPC","pRPC",7120,7695
"Gm16599","TH2",-0.483677144193018,25307556.5,0.461914501974871,1.07518546045685e-17,2.8403595033634e-16,2.5248854418707,2.04120829767769,0.532162921348315,0.476153346328785,0.532162921348315,-0.0560095750195296,"Higher in TH1","pRPC","pRPC",7120,7695
"Rpl18a","TH2",0.472074539739816,29531665.5,0.539013103138621,1.34196190888673e-17,3.51455196482577e-16,2.51593164325934,2.98800618299915,0.550140449438202,0.608187134502924,0.608187134502924,0.0580466850647217,"Higher in TH2","pRPC","pRPC",7120,7695
"Sorbs2","TH2",1.29212684002839,29613722,0.540510801556534,1.39990690785676e-17,3.65580273874111e-16,12.4000446208595,13.6921714608879,0.921629213483146,0.940350877192982,0.940350877192982,0.0187216637098364,"Higher in TH2","pRPC","pRPC",7120,7695
"Pbx3","TH2",-0.853699101826413,25295592.5,0.461696134583233,1.59791683758141e-17,4.160975445062e-16,4.56676729378792,3.71306819196151,0.55941011235955,0.505003248862898,0.55941011235955,-0.0544068634966526,"Higher in TH1","pRPC","pRPC",7120,7695
"Rps25","TH2",0.448447727192301,29508832,0.53859634521176,2.4331971792274e-17,6.28219804291176e-16,2.38698462905955,2.83543235625185,0.540168539325843,0.60012995451592,0.60012995451592,0.0599614151900767,"Higher in TH2","pRPC","pRPC",7120,7695
"Pde3b","TH2",-0.516558242600191,25323240.5,0.462200766950668,2.68159516983713e-17,6.86518493761112e-16,2.95538866116344,2.43883041856325,0.544662921348315,0.487589343729695,0.544662921348315,-0.05707357761862,"Higher in TH1","pRPC","pRPC",7120,7695
