"gene","group","log2FC_TH2_vs_TH1","statistic","auc","p_value","padj","mean_expression_TH1","mean_expression_TH2","pct_detected_TH1","pct_detected_TH2","max_pct_detected","delta_pct_detected_TH2_minus_TH1","direction","celltype_output_label","manual_celltype","n_cells_TH1","n_cells_TH2"
"5330438D12Rik","TH2",-0.071721481250794,27068845,0.494061607931606,0.177121594137852,0.287137354851011,2.1814270864257,2.1097056051749,0.485252808988764,0.474333983105913,0.485252808988764,-0.0109188258828511,"Not significant","pRPC","pRPC",7120,7695
"Etaa1","TH2",0.0408504981057628,27655024,0.504760569755642,0.177232399869353,0.287265888744315,0.744274882151838,0.785125380257601,0.230337078651685,0.239376218323587,0.239376218323587,0.00903913967190134,"Not significant","pRPC","pRPC",7120,7695
"Bbs1","TH2",0.00969216646315504,27534441,0.502559684166721,0.177294061330333,0.287314735946773,0.153134890234559,0.162827056697714,0.0536516853932584,0.058869395711501,0.058869395711501,0.00521771031824254,"Not significant","pRPC","pRPC",7120,7695
"Anapc13","TH2",0.0290263124223078,27606748,0.503879434332815,0.177473925839493,0.287503974422527,0.422280071555898,0.451306383978206,0.137640449438202,0.145029239766082,0.145029239766082,0.00738879032787962,"Not significant","pRPC","pRPC",7120,7695
"Mcee","TH2",-0.0234669102854282,27235163.5,0.497097259638902,0.177458641654105,0.287503974422527,0.228892460496625,0.205425550211197,0.0768258426966292,0.0710851202079272,0.0768258426966292,-0.005740722488702,"Not significant","pRPC","pRPC",7120,7695
"Man2a1","TH2",0.0455924308272638,27646985,0.504613841616109,0.17755042371149,0.287576783669189,0.707710882690451,0.753303313517715,0.212219101123596,0.221052631578947,0.221052631578947,0.00883353045535185,"Not significant","pRPC","pRPC",7120,7695
"Wdr7","TH2",-0.0191877623528496,27107546.5,0.494767989209395,0.17779620421533,0.287923703841244,1.15357041461362,1.13438265226077,0.313904494382022,0.302923976608187,0.313904494382022,-0.0109805177738353,"Not significant","pRPC","pRPC",7120,7695
"Nop14","TH2",0.0227656229419356,27578116,0.503356841959247,0.177910600530424,0.28801736755752,0.287175002137832,0.309940625079768,0.0984550561797753,0.105003248862898,0.105003248862898,0.0065481926831227,"Not significant","pRPC","pRPC",7120,7695
"Map3k14","TH2",0.00877761045133385,27582976.5,0.503445555993605,0.177917245923726,0.28801736755752,0.314061270226299,0.322838880677633,0.104213483146067,0.111500974658869,0.111500974658869,0.00728749151280197,"Not significant","pRPC","pRPC",7120,7695
"Vax2","TH2",-0.0292438548795054,27194863,0.496361693351147,0.17796560955063,0.288044497503897,0.411613081328071,0.382369226448566,0.125983146067416,0.118778427550357,0.125983146067416,-0.00720471851705835,"Not significant","pRPC","pRPC",7120,7695
